design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),Formal designation of Indigenous Lands in Brazil,,,
Quasi-experimental,Synthetic control,Construction and operation of a paper mill as a result of foreign direct investment in the forestry sector,,,
Quasi-experimental,Fixed effects (incl. DiD),Increased public patrolling (monitoring and enforcement) in the Chilean abalone fishery,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s Grassland Ecological Compensation Program (GECP), a Payments for Ecosystem Services (PES) program providing economic incentives to grassland users",,,
Quasi-experimental,Fixed effects (incl. DiD),Adoption of Climate Smart Agriculture technologies under the NICRA program in drought-prone villages,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of water resource tax reform pilot in coastal cities of China,,,
Quasi-experimental,Regression discontinuity design,"Public policies for forest protection at the national level (including enforcement, stringency, property rights, and rule of law)",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the National Key Ecological Function Area (NKEFA) policy in Chinese counties, which provides ecological compensation aimed at improving ecological poverty and rural residents’ incomes.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Climate-Smart Village (CSV) approach, which includes interventions aimed at encouraging the adoption of improved livestock breeds (for crossbreeding), and facilitating access to savings and credit through community-based savings and loan groups among smallholders.",,,
Quasi-experimental,Synthetic control,Implementation of a water rights trading (WRT) policy pilot program in selected Chinese provinces,,,
Quasi-experimental,Fixed effects (incl. DiD),Livestock subsidy program (PROGAN) and payments for ecosystem services (PES) in Mexico,,,
Experimental,Randomised controlled trial,Introduction of a mixed management system with communal protection of community-owned forest areas and individual management rights over individually owned trees.,,,
Quasi-experimental,Fixed effects (incl. DiD),"Fiscal investments in the Sloping Land Conversion Program (SLCP) for revegetation at the county level in Shaanxi Province, China",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a large-scale voluntary REDD+ project aimed at reducing deforestation and improving socioeconomic outcomes in the Gola forest area of Sierra Leone,,,
Qualitative,Outcome harvesting,Cash transfer programmes targeting women of reproductive age and children under 18 years in sub-Saharan Africa,,,
Qualitative,Other,"Caregiver-oriented interventions (short-term sensitisation, education campaigns, written messages), health system-oriented interventions (home visits, pay-for-performance schemes, contracting out services), community-oriented interventions",,,
Qualitative,Other,mHealth interventions for disseminating sexual and reproductive health information to adolescents,,,
Qualitative,Other,"Community health interventions, service quality improvements, and financial incentives to improve antenatal screening rates for syphilis, HIV, and hepatitis B in low- and middle-income countries",,,
Qualitative,Other,"Nutrition-specific (maternal and child health and school-based programmes) and nutrition-sensitive (conditional cash transfers, social policies, family planning service, education reform) interventions",,,
Quasi-experimental,Fixed effects (incl. DiD),Financial support for grassland ecological protection and restoration,,,
Qualitative,Other,"Community-based educational videos focused on nutrition, health, and health service use",,,
Quasi-experimental,Fixed effects (incl. DiD),"Payments for Forest Environmental Services (PFES) scheme in Vietnam, redistributing funds via contracts to protect, restore, and plant new forests",,,
Experimental,Randomised controlled trial,"Mental health and psychosocial support (MHPSS) programmes delivered to children and young people affected by humanitarian emergencies, including cognitive behavioural therapy, narrative exposure therapy, and psychosocial programmes involving creative activities",,,
Qualitative,Other,"Gut microbiome-targeted nutrition interventions, including prebiotics, probiotics, synbiotics, and microbiome complementary feeds",,,
Qualitative,Outcome harvesting,Skill training programs to enhance youth engagement in agribusiness,,,
Qualitative,Other,"Evidence-based interventions to reduce greenhouse gas emissions in health-care systems, targeting sources such as energy, waste, heating and cooling, operations and logistics, building design, and anaesthetic gases.",,,
Qualitative,Other,"Various preventive interventions to reduce intimate partner violence, including programs targeting both men and women",,,
Quasi-experimental,Instrumental variable estimation,Transfer of land-use rights to private companies for commercial agricultural production,,,
Quasi-experimental,Statistical matching,Community-based natural resource management (CBNRM) project granting exclusive property rights and collective management to local communities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of policy designating National Key Ecological Functional Areas (NKEFA) to restrict land conversion and enhance ecosystem service value compared to non-NKEFA regions.,,,
Quasi-experimental,"Statistical matching, Instrumental variable estimation",Weather index insurance (WII) uptake,,,
Quasi-experimental,Other,Collective incentive-based conservation initiatives: a local REDD+ project and Peru’s National Forest Conservation Program (NFCP),,,
Quasi-experimental,Other,Land transfer and government land acquisition policies (variation in extent across villages and proximity to city),,,
Quasi-experimental,"Fixed effects (incl. DiD), Instrumental variable estimation","Tree planting programs, including increasing land dedicated to tree plantations and diversification of tree species on these plantations",,,
Quasi-experimental,Instrumental variable estimation,Provision and use of weather and climate information services (WCIS) to farm households,,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction of new industrial logging concession contracts (with forest Management Plans and benefit-sharing requirements) in the DRC,,,
Quasi-experimental,Fixed effects (incl. DiD),"Fiscal subsidies for agriculture and land fragmentation (measured by observation, not randomly assigned, but their effects on agricultural TFP are estimated)",,,
Quasi-experimental,"Fixed effects (incl. DiD), Instrumental variable estimation","Malawi’s Farm Input Subsidy Program (FISP), which provides subsidized vouchers for farm inputs to targeted rural households",,,
Quasi-experimental,Fixed effects (incl. DiD),Increased access to and coverage of digital financial inclusion services at the provincial level in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Establishment of a specialized tax monitoring unit for high-net-worth individuals (HNWIs) and very important persons (VIPs) at the Uganda Revenue Authority, combining persuasion, assistance, and enforcement.",,,
Quasi-experimental,Difference-in-differences (Fixed effects),Increase in minimum wage legislation with partial (60%) coverage among workers in Thailand,,,
Quasi-experimental,Regression discontinuity design,Implementation of the National Environmental Policy (NEP) by the government of Pakistan in 2005,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Geographical Indications (GIs) for agricultural products,,,
Quasi-experimental,Statistical matching,Provision of job recommendations and free vocational training to impoverished individuals,,,
Quasi-experimental,Regression discontinuity design,Subsidy on house-purchase for low-income individuals in Mexico,,,
Experimental,Randomised controlled trial,Provision of liquefied petroleum gas (LPG) stove and fuel to pregnant women to reduce household air pollution during pregnancy,,,
Quasi-experimental,Fixed effects (incl. DiD),"Allocation and disaggregation of Official Development Assistance (ODA) by sector (agriculture, industry, education, economic infrastructure) in 69 developing countries from 2005 to 2019",,,
Quasi-experimental,Fixed effects (incl. DiD),Public housing investments by Toplu Konut İdaresi Başkanlığı (TOKI) at the provincial level in Turkey between 2004 and 2018,,,
Quasi-experimental,Fixed effects (incl. DiD),Agro-input dealer certification courses intended to improve knowledge and practices related to environmentally-friendly pest control among agro-dealers.,,,
Quasi-experimental,Fixed effects (incl. DiD),Analysis of changes in corporate income tax policies on the dividend and capital structure decisions of Shariah-compliant companies in Malaysia using panel data models,,,
Quasi-experimental,"Fixed effects (incl. DiD), Instrumental variable estimation",Implementation of an agricultural certification policy in poverty-stricken counties in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Large-scale residential energy conservation contest with competitive rebates and multiple prizes,,,
Experimental,Randomised controlled trial,Child Abuse and Neglect Prevention Program (CANPP) based on Social Cognitive Theory delivered to pregnant women,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Special Economic Zone (SEZ) policies,,,
Quasi-experimental,Statistical matching,"Targeted government and humanitarian support initiatives for food security during COVID-19 among vulnerable populations (e.g., refugees and IDPs) in Nigeria",,,
Quasi-experimental,Statistical matching,"Application-based tiered care (Mom’s Good Mood, MGM) for perinatal anxiety among pregnant women within primary health clinics",,,
Experimental,Randomised controlled trial,"Lipid-focused dietary education provided to pregnant women through (1) online education, (2) a pregnancy nutrition checklist and a ‘one-page flyer’, compared with (3) routine antenatal education.",,,
Quasi-experimental,Fixed effects (incl. DiD),Pilot project of the National Healthcare Data Center (construction of digital health infrastructure in selected regions of China),,,
Experimental,Randomised controlled trial,Comparison of a basic reintegration package (reunification grant and case management) versus an enhanced package (basic package plus 13 bi-weekly parenting training sessions) for families of children reunified from residential care.,,,
Experimental,Randomised controlled trial,Didactic health education booklet and educational activities on soil-transmitted helminths integrated into the school curriculum for sixth-grade students,,,
Experimental,Randomised controlled trial,Color-based carbon footprint and calorie content labeling schemes applied to dumpling sales in university canteens,,,
Experimental,Randomised controlled trial,"Educational intervention based on the Protection Motivation Theory (PMT), consisting of five training sessions aimed at improving preventive behaviors of respiratory infections among hospital staff.",,,
Quasi-experimental,Statistical matching,Combination of Land Tenure Formalization (LTF) and Productive Social Safety Nets (PSSN) programmes,,,
Quasi-experimental,Statistical matching,"Technical assistance and rural extension services provided by the Dom Hélder Câmara Project (PDHC II), with an additional component for some families of access to the Rural Funding Program.",,,
Experimental,Randomised controlled trial,Nudging farmers to obtain formal land titles through a land titling program,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Insolvency and Bankruptcy Code (IBC) in 2016, which enhanced the legal rights of trade creditors in cases of default.",,,
Quasi-experimental,Statistical matching,Social and behavior change communication (SBCC) intervention (Change Starts at Home) designed to prevent intimate partner violence and shift social norms towards greater gender equity.,,,
Quasi-experimental,Other,"Interactive text-messaging intervention for pregnant women living with HIV, consisting of weekly messages prompting response to monitor health status and facilitate communication with healthcare providers during PMTCT care.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Healthy China 2030 (HC2030) national policy,,,
Experimental,Randomised controlled trial,"Monthly, 3-day course of dihydroartemisinin-piperaquine administered for three consecutive months to children aged 3–59 months in intervention clusters",,,
Experimental,Randomised controlled trial,"Audio-delivered health education and written health education developed participatorily for changing perception, knowledge, and attitudes toward leprosy among community members, compared to a control group.",,,
Experimental,Randomised controlled trial,"Gut microbiota-directed complementary food supplementation (MDCF-2) versus ready-to-use supplementary food (RUSF), administered to children with moderate acute malnutrition for 12 weeks.",,,
Experimental,Randomised controlled trial,"Universal, population-level HIV test-and-treat intervention, including annual HIV testing and patient-centered linkage in intervention communities, compared to HIV testing at baseline and endline in control communities.",,,
Experimental,Randomised controlled trial,"Combined nutrition and psychosocial stimulation intervention for child development among children aged 7–33 months in rural villages, compared to supplemental nutrition intervention.",,,
Quasi-experimental,Fixed effects (incl. DiD),Chinese health aid projects in selected areas of African countries,,,
Experimental,Randomised controlled trial,"A comprehensive dietary intervention program for pregnant women, including online and offline health education on prenatal nutrition, weekly weight monitoring, family education, and real-time dietary guidance.",,,
Quasi-experimental,Synthetic control,Antimalarial initiative in Mozambique,,,
Experimental,Randomised controlled trial,"Economic empowerment intervention including a child development account, micro-enterprise workshops, and educational sessions",,,
Experimental,Randomised controlled trial,"A multi-component school-based health-promotion intervention for eighth grade adolescents, involving classroom education, weekly physical activity sessions for students, and separate sessions for parents and teachers, designed using the Precede-Proceed Model and targeting behavioural risk factors for chronic disease.",,,
Experimental,Randomised controlled trial,"Economic incentives (conditional cash incentives) coupled with either home visits for out-of-care PLHIV or tailored counseling sessions for at-risk in-care PLHIV, to improve continuity of care and viral load suppression among people living with HIV in Tanzania.",,,
Quasi-experimental,Statistical matching,Implementation of the family physician contract service system,,,
Quasi-experimental,Fixed effects (incl. DiD),Legalization of abortion in specific circumstances in Mozambique (abortion legal reform),,,
Quasi-experimental,Fixed effects (incl. DiD),COVID-19 lockdowns,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation and intensification of China’s zero-COVID policy (including stricter controls in response to the Omicron variant), assessed using panel data on COVID-19 risk levels across counties.",,,
Experimental,Randomised controlled trial,Nutrition education (lecture on Chinese Food Guide Pagoda) combined with personalized feedback on household overweight status,,,
Quasi-experimental,Fixed effects (incl. DiD),Land reform resulting in varying numbers of water users and types of irrigation systems (pump vs gravity) across regions and time,,,
Experimental,Randomised controlled trial,"A behavioural intervention bundle co-created with communities and medicine vendors (including interactive interventions such as theatre, posters, and discussions) to rationalise antibiotic use and improve hygiene and sanitation practices, implemented in randomly assigned clusters (villages) in rural Burkina Faso and DR Congo.",,,
Experimental,Randomised controlled trial,Monthly telephone message reminders after online breast self-examination training,,,
Quasi-experimental,Regression discontinuity design,Peru's social pension program Pension 65,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Rural E-Commerce Demonstration County Program (REDCP) in select counties,,,
Quasi-experimental,Fixed effects (incl. DiD),Provision of biological and machinery services by agricultural cooperatives to smallholder farmers within the framework of contract farming and vertical integration,,,
Quasi-experimental,Regression discontinuity design,Income change induced by age-based eligibility for China's New Rural Pension Scheme (NRPS),,,
Experimental,Randomised controlled trial,"A mobile application intervention combined with recitations from the Holy Quran, provided to pregnant women during their third trimester until 2 months postpartum, compared to a control group receiving no intervention.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Small Business of the Family Economy programme, a government business and skills training programme for self-employed workers in Nicaragua",,,
Quasi-experimental,Fixed effects (incl. DiD),High-standard farmland construction (HSFC) initiative to improve agricultural land quality and grain production,,,
Experimental,Randomised controlled trial,"A large, one-time, unconditional cash transfer of $1,000 to refugee households in Uganda",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of joint land ownership (JLO) among rural women in Sunsari district, Nepal",,,
Qualitative,Outcome harvesting,"Bundled, multisectoral interventions combining economic strengthening and health components (including sexual and reproductive health education, HIV prevention, gender equality education, and other supportive services) targeted to adolescents and young people in Africa.",,,
Experimental,Randomised controlled trial,Egg supplementation for children,,,
Qualitative,Other,Deployment of rural community health workers (CHWs) to improve access to health services and health outcomes during the COVID-19 pandemic in low- and middle-income countries,,,
Qualitative,Other,Education sessions and support led by community health workers during home visits to improve continuity and flow of information between families and healthcare providers after neonatal hospital discharge.,,,
Experimental,Randomised controlled trial,Oral vitamin B12 supplementation during pregnancy compared to placebo or no supplementation,,,
Qualitative,Other,"Digital health interventions (e.g., client education and behavior change communication delivered via digital platforms) targeted at improving effective coverage and quality of antenatal care services",,,
Qualitative,Outcome harvesting,"Adaptations to school health and nutrition programmes during the COVID-19 pandemic, including out-of-school school meal provision, physical activity curriculum, mental health counselling, and suspension of in-school health services.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's New-type Urbanization Pilot Policy (NTUPP) in selected cities,,,
Quasi-experimental,"Difference-in-Differences (Fixed effects, incl. DiD)",Introduction (launch) of high-speed rail (HSR) service in the geographic proximity of publicly listed firms,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment and expansion of economic zones (EZs) in rural China,,,
Experimental,Randomised controlled trial,"Monthly administration of Intermittent Preventive Treatment of malaria in pregnancy using Sulfadoxine-Pyrimethamine (IPTp-SP) through Seasonal Malaria Chemoprevention (SMC) delivery channels, in addition to standard antenatal care, as compared to antenatal care alone.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's 'environmental fees to taxes' policy (EFTP),,,
Experimental,Randomised controlled trial,Provision of 2 eggs per day for 1 month to pregnant women as an additional food in their diet,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of green credit policy encouraging banks to promote loans to green industries, with subsequent analysis of its impacts on commercial banks’ credit risk",,,
Quasi-experimental,Regression discontinuity design,Increase in Block Pricing (IBP) policy for electricity billing in Ghana,,,
Quasi-experimental,Other,"Different air pollution emission permit allocation methods across industrial enterprises, evaluated using the 3E framework (Effectiveness, Efficiency, Equity) in major Chinese cities",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'Green Credit Guidelines' (2012 Guidelines) policy as a quasi-natural experiment affecting publicly listed companies in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion of green agricultural machinery electrification in rice production at the provincial level in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Green credit policies/loans to support environmentally friendly or green projects,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the green credit policy in 2012, with analysis of the moderating effect of government subsidy on enterprises’ financial asset allocation.",,,
Experimental,Randomised controlled trial,Telemedicine support for pediatric intensive care units compared to usual PICU care,,,
Experimental,Randomised controlled trial,"Agricultural livelihood intervention (provision of water pump, seeds, agricultural and financial training) for people with HIV",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of China's Labor Contract Law (LCL), which strengthened employment protection for workers in Chinese industrial firms.",,,
Quasi-experimental,Regression discontinuity design,Partial lockdown policy to reduce the spread of COVID-19,,,
Quasi-experimental,Fixed effects (incl. DiD),Low-Carbon Pilot Cities Policy (LCPCP) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the SO2 Emissions Trading Scheme (ETS) in selected pilot areas for firms,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Broadband China Policy, which promoted digital infrastructure development",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Implementation of REDD+ (Reducing Emissions from Deforestation and Forest Degradation) projects in pilot sites in Kilosa and Kondoa districts in Tanzania,,,
Experimental,Randomised controlled trial,"Six 90-minute online sexual education sessions based on the sexual self-concept model delivered to postpartum women, compared to routine care.",,,
Experimental,Randomised controlled trial,"Provision of complementary feeding (CF) guidance/intervention to mother-infant pairs randomized to one of three methods: strict Parent-Led Weaning (PLW), strict Baby-Led Introduction to Solids (BLISS), or a mixed method.",,,
Quasi-experimental,Fixed effects (incl. DiD),Target-based pollutant emissions abatement policy for sulfur dioxide imposed on Two Control Zones in China post-2000.,,,
Experimental,Randomised controlled trial,"Inclusive sexual and reproductive health project to increase access to modern contraceptives for women with disabilities, using demand-side, supply-side, and contextual interventions implemented at health facility and community levels for at least 1 year.",,,
Experimental,Randomised controlled trial,"Transitional Community Adherence Club (TCAC): a multilevel group-based, peer-led intervention with a 12-session curriculum over 6 months facilitated by trained peers and social workers for people living with HIV returning from incarceration.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'National Big Data Comprehensive Pilot Zone' policy,,,
Quasi-experimental,Interrupted time series analysis,Phase-out (reduction/elimination) of household photovoltaic (PV) subsidies in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Promulgation of China’s new green credit policy, which imposes lending constraints on firms in high-energy consumption sectors",,,
Quasi-experimental,Fixed effects (incl. DiD),Rural Primary Electrification Program using small hydropower in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Carbon Emissions Trading System (CETS) in selected Chinese pilot provinces,,,
Quasi-experimental,Fixed effects (incl. DiD),"Introduction and variation of ESG ratings (SynTao Green Finance ESG ratings) among Chinese listed companies, used as an exogenous shock to study their impact on corporate carbon emissions",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2012 Green Credit Guidelines (GCG) as an exogenous policy shock to restrict credit to heavily polluting enterprises in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the macroprudential assessment (MPA) system in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Free school meals provided to eligible students through the Nutrition Improvement Program (NIP) in rural China,,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion of mobile payments following a 2016 policy change in Chinese prefectures,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the carbon emission trading (CET) pilot policy in selected regions of China,,,
Quasi-experimental,Fixed effects (incl. DiD),Construction of digital infrastructure through the implementation of “Broadband China” demonstration cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National E-Commerce Demonstration City (NEDC) policy in selected Chinese cities from 2006 to 2017,,,
Experimental,Randomised controlled trial,"Socioecological model-guided, smart device-based, self-management-oriented lifestyle intervention (3SLIFE), involving a multi-level behavioral change and empowerment approach delivered via mobile health technology, aimed at promoting healthy lifestyles among Chinese community residents.",,,
Quasi-experimental,Fixed effects (incl. DiD),Grant of long-term land rights to rural households (land reform),,,
Quasi-experimental,Fixed effects (incl. DiD),Policy shock in China that integrates financial innovation into the National Innovation System (NIS) as part of national supply-side reform,,,
Quasi-experimental,Fixed effects (incl. DiD),Construction and implementation of Pilot Free Trade Zones (PFTZs) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Pilot Free Trade Zones (PFTZs) in provinces in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Environmental One-Vote Veto evaluation regime linking local officials’ promotion to pollution reduction targets,,,
Quasi-experimental,Fixed effects (incl. DiD),"Government-issued official guidance document in Jiangsu Province, China, promoting CSR as a pilot policy (treated as a quasi-natural experiment to promote substantive CSR actions by firms).",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental insurance for firms,,,
Quasi-experimental,Fixed effects (incl. DiD),"Variation in the intensity of environmental regulation at the prefecture-level city, measured via emission data, and its impact on the income of the Chinese migrant population",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National Big Data Comprehensive Pilot Zone policy as an exogenous shock to promote big data infrastructure,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2012 Green Credit Guidelines (green credit policy) targeting high-pollution and high-emission enterprises in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation and expansion of inter-provincial (inter-regional) power transmission infrastructure, particularly through the construction of Ultra-high Voltage (UHV) transmission lines as part of the West-East Electricity Transmission Project in China.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Stock Connect program (capital market opening up),,,
Quasi-experimental,Fixed effects (incl. DiD),Construction of highways at the county level in China,,,
Quasi-experimental,Difference-in-differences (Fixed effects incl. DiD),Temporary exemption from local cost sharing (matching mandates) for rural road stimulus program,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'Guidance on Building a Green Financial System' (GBGFS) policy in China starting in late 2016,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Old Revolutionary Development Program (ORDP) to increase fiscal expenditure and narrow the urban–rural income gap in old revolutionary base areas in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new ambient air quality standards (NAAQS) and environmental information disclosure policy in Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Healthy City Pilot (HCP) policy in selected Chinese cities,,,
Quasi-experimental,Instrumental variable estimation,Provision of rural roads under India’s rural roads program,,,
Quasi-experimental,Difference-in-Differences (DiD),Expansion of the collateral scope for the Medium-Term Lending Facility (MLF) by the People's Bank of China,,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion of China’s public vaccine program combined with the imposition of price controls on affected vaccines (policy reform in 2008–2009).,,,
Quasi-experimental,Fixed effects (incl. DiD),Resource tax reform in resource-based cities in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Tax hotline program providing public access to tax information,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City Pilot (NEDCP) policy in selected Chinese cities,,,
Experimental,Randomised controlled trial,Once-daily small-volume formula supplementation in addition to breastfeeding for the first 30 days of life among at-risk newborns,,,
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of China’s first Environmental Information Disclosure (EID) policy in 2008, treating it as an exogenous shock to assess its impact on corporate green innovation.",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Implementation of carbon emission trading policy in selected Chinese cities,,,
Qualitative,Other,Education reform during post-war institutional transformation,,,
Quasi-experimental,Interrupted time series analysis,"Adjustment of provincial antibiotic restriction lists (changing restriction levels between 'highly-restricted', 'restricted', and 'non-restricted' categories) in selected Chinese provinces",,,
Quasi-experimental,Fixed effects (incl. DiD),Environmental information disclosure (EID) policy implementation at the city level in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Slash and Clear method (removal of trailing vegetation where blackflies breed) implemented as a community-based intervention in the intervention site (Biatsota) compared to a control site (Bayomen),,,
Quasi-experimental,Fixed effects (incl. DiD),Relocation of Hangzhou city government/city hall to a new central business district between 2015 and 2016,,,
Quasi-experimental,Instrumental variable estimation,Implementation of the Low-Carbon City Pilot (LCCP) policy in Chinese cities,,,
Quasi-experimental,Difference-in-Differences (Fixed effects),"Establishment of China National Financial Comprehensive Reform Pilot Zones, which improve the regional financial environment",,,
Quasi-experimental,Fixed effects (incl. DiD),Multidimensional women’s empowerment program in India,,,
Experimental,Randomised controlled trial,"A low-cost, group-based early childhood education program providing parent training and direct child stimulation in rural communities",,,
Experimental,Randomised controlled trial,Implementation of sunlight-reflecting roof coatings ('cool roofs') for passive indoor home cooling,,,
Experimental,Randomised controlled trial,Nutrition education integrating the Health Belief Model and Theory of Planned Behavior delivered to pregnant women starting at 16 weeks of gestation for 6 months,,,
Quasi-experimental,Fixed effects (incl. DiD),COVID-19 vaccination campaign administering five different vaccines to adults aged 60-64 in Mexico,,,
Quasi-experimental,Fixed effects (incl. DiD),2014 hukou reform in China that relaxed internal migration restrictions in nonmegacities,,,
Experimental,Randomised controlled trial,M-Health intervention targeting sexual and reproductive health of in-school adolescents,,,
Experimental,Randomised controlled trial,"An oral health intervention (details not provided in abstract) targeting children living with HIV in Nigeria, tested using a 2-arm randomized control design",,,
Qualitative,Outcome harvesting,"Menstrual health interventions including information and education programs (mostly school-based), provision of menstrual materials/facilities/services, interventions for menstrual discomforts, and supportive social environment interventions in low- and middle-income East Asia and Pacific countries.",,,
Quasi-experimental,"Meta-analysis (random-effects models, subgroup analyses using pooled odds ratios)",Community-based interventions to reduce stillbirths in sub-Saharan Africa (alone or combined with health-facility interventions),,,
Experimental,Other,"Family planning interventions including demand-generation activities, health system integration, and franchised family planning clinics aimed at increasing the uptake of modern contraceptive methods among women of reproductive age in South Asia.",,,
Quasi-experimental,"Meta-analysis (of before–after studies, observational studies, and randomised controlled trials; includes pooling of risk ratios, random-effects model, and potential inclusion of fixed effects/DiD in the underlying studies, but the meta-analysis itself does not directly use those methods)","Home-based management of malaria in community settings, including home delivery of antimalarial drugs and sometimes intermittent preventive treatment",,,
Qualitative,Other,Scoping review of mHealth tools for community-based infectious disease surveillance in Africa,,,
Other,Other,Health System Strengthening (HSS) activities aimed at improving healthcare delivery and child survival in sub-Saharan Africa,,,
Quasi-experimental,Fixed effects (incl. DiD),Government-led mass media campaign to increase the perceived value of daughters and tighten policing of illegal sex-selective abortions,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s reduction in trade policy uncertainty following accession to the WTO,,,
Quasi-experimental,Fixed effects (incl. DiD),National Sustainable Development Plan for Resource-Based Cities (NSDP) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Environmental tournament (a policy mechanism involving competitive environmental performance evaluation and incentives among cities to reduce pollution and CO2 emissions),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National Key Ecological Functional Areas (NKEFA) policy in selected counties in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City (NEDC) policy in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the National Plan for Sustainable Development of Resource-based Cities (NPSDRC) as a policy intervention, with Fintech adoption as a moderating factor",,,
Quasi-experimental,Fixed effects (incl. DiD),China's low-carbon pilot (LCP) city policy,,,
Quasi-experimental,Statistical matching,Dissemination of improved cookstoves via a results-based financing (RBF) scheme under the REDD+ program,,,
Quasi-experimental,Instrumental variable estimation,Fossil fuel subsidies affecting energy-saving technological change across Chinese provinces,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of modern agricultural demonstration zones at the county level,,,
Experimental,Randomised controlled trial,"A family-focused, online parenting support intervention for parents of preterm infants, including group and individual online sessions, follow-up telephone calls, and access to online parenting resources.",,,
Quasi-experimental,Fixed effects (incl. DiD),Green fiscal expenditure by local governments,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of environmental courts in Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s Top 10,000 Energy-Consuming Enterprises Program (T10000P), an energy-saving policy targeting the largest energy-consuming enterprises",,,
Experimental,Randomised controlled trial,Provision of access to a digital job platform and dissemination of job opportunity text messages to vocational training graduates,,,
Experimental,Randomised controlled trial,Provision of a short list of specific water conservation strategies via text message to residential water consumers,,,
Quasi-experimental,Fixed effects (incl. DiD),Issuance of land use rights via timber concessions and overlapping concessions for timber and mining in managed public forests,,,
Quasi-experimental,Fixed effects (incl. DiD),China's 2016 coal production reduction (de-capacity) policy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's dual carbon policy targeting carbon peaking and neutrality in heavy-polluting enterprises,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'negative list for market access' pilot project (deregulation of market access) in different Chinese provinces.,,,
