design,method,intervention
Quasi-experimental,Instrumental variable estimation,Construction of new subsidized public housing projects in urban neighborhoods
Experimental,Randomised controlled trial,Nutrition education provided to caregivers of internally displaced schoolchildren
Experimental,Randomised controlled trial,Nudges prompting users to consider information accuracy before sharing on social media
Experimental,Randomised controlled trial,Facial-aging web app promoting sun-safe behaviors via WhatsApp for primary school students
Quasi-experimental,Statistical matching,Comprehensive DREAMS package to reduce HIV and shift gender norms for AGYW
Quasi-experimental,Statistical matching,Offering contract farming arrangements to smallholder vegetable farmers
Quasi-experimental,Other,Analysis of government expenditure impacts amid informality on GDP growth
Quasi-experimental,Fixed effects (incl. DiD),Implementation of county financial marketization reforms to promote agricultural economic development
Quasi-experimental,Statistical matching,Brazil's Bolsa Familia conditional cash transfers to pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Assignment of central inspectorates to oversee local industrial land transactions
Experimental,Randomised controlled trial,"Disability-inclusive livelihood support through cash transfers, training, and asset provision"
Experimental,Randomised controlled trial,Entrepreneurship training plus loans provided to disadvantaged youth
Quasi-experimental,Instrumental variable estimation,Offering digital agricultural technology extension services to maize farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the new rural social pension program for older adults in rural China
Quasi-experimental,Fixed effects (incl. DiD),Promotion of green agriculture in prefecture-level cities
Experimental,Difference-in-Differences,Bi-monthly cash transfers to poor households via the HSNP in Kenya
Quasi-experimental,Fixed effects (incl. DiD),Construction of Chinese-built and financed stadiums in African cities
Experimental,Randomised controlled trial,Community-based mentoring for pregnant and parenting adolescents
Experimental,Randomised controlled trial,Weekly group mindfulness and acceptance training for adolescents on ART
Quasi-experimental,Other,Provision of delivery pack and additional health education during antenatal care
Experimental,Randomised controlled trial,Cluster randomised provision of seasonal malaria chemoprevention to children with varying protocols
Quasi-experimental,Fixed effects (incl. DiD),"Multidimensional women’s empowerment program involving credit, skills, livestock, water, rights, and nutrition"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of BRI infrastructure projects using Chinese loans and state-owned enterprises
Quasi-experimental,Fixed effects (incl. DiD),Provision of improved WASH infrastructure and health education in schools
Quasi-experimental,"Difference-in-Differences, synthetic control",National top-down water unified allocation and regulation policy (TWAR)
Quasi-experimental,Fixed effects (incl. DiD),Redistricting through increased legislative representation in Indian state assemblies
Quasi-experimental,Regression discontinuity design,Unconditional cash and food assistance to rural coastal households
Experimental,Randomised controlled trial,Decentralized acute malnutrition treatment using CHWs and a simplified combined protocol
Quasi-experimental,Fixed effects (incl. DiD),Imposition of international economic sanctions on target countries
Experimental,Randomised controlled trial,Sanitation upgrades with child feces management tools and behavioral promotion
Quasi-experimental,Statistical matching,Combined participatory agricultural transformation and farmer market school programs
Quasi-experimental,Fixed effects (incl. DiD),Mandated a 52% increase in agricultural sector minimum wages in South Africa
Quasi-experimental,Other,Land reform policies including willing seller-willing buyer and expropriation approaches
Quasi-experimental,Fixed effects (incl. DiD),Mandated electronic monitoring of working hours in firms
Quasi-experimental,Fixed effects (incl. DiD),Hukou system reform enabling increased rural–urban migration
Quasi-experimental,Synthetic control,Introduction of concessions for basic sanitation services in selected municipalities
Quasi-experimental,Fixed effects (incl. DiD),Provision of technical training and extension services to smallholder cherry farmers
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of small-scale, river-based irrigation schemes in rural Mali"
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers via the Benazir Income Support Programme
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a water rights trading system in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Transfer of collective forest land rights to farmers through tenure reform
Quasi-experimental,Synthetic control,Implementation of stricter sulfur limits in Emission Control Areas at Chinese ports
Experimental,Randomised controlled trial,Renovation of traditional water tanks and farmer training for climate-resilient agriculture
Experimental,Randomised controlled trial,Family-centred support and empowerment programs for family caregivers
Other,Other,Government-led population-level policies reducing inappropriate antibiotic use
Quasi-experimental,Other,Provision of a single-dose HPV vaccine compared to multiple-dose regimens
Experimental,Randomised controlled trial,Health education promoting insecticide-treated nets use among pregnant women
Qualitative,Other,"Psychological interventions like CBT, mindfulness, and group counseling for pregnant women"
Quasi-experimental,Other,Behaviour change strategies to improve maternal health outcomes in sub-Saharan Africa
Quasi-experimental,Other,Community or school programs aimed at changing social norms around child marriage
Qualitative,Other,Systematic review of government mechanisms supporting sustainable agriculture initiatives
Qualitative,Other,Quality improvement approaches in public–private healthcare partnerships
Experimental,Randomised controlled trial,Use of mHealth services to promote childhood vaccination uptake
Other,Other,Varied interventions for multimorbidity care in adults across LMIC healthcare settings
Qualitative,Other,Health education using various media and community approaches for leprosy prevention
Experimental,Randomised controlled trial,Pharmacist-supported transition of care services for hospital-discharged adults
Qualitative,Other,Breastfeeding promotion programs targeting mothers and healthcare professionals
Quasi-experimental,Other,"Increasing women’s income generation through agriculture, entrepreneurship, finance, and labor force participation"
Other,Other,Partnerships between public and private sectors to deliver primary and secondary education
Quasi-experimental,Other,Cessation of SLCP subsidies to participating farmers
Quasi-experimental,Other,Payments for ecosystem services to incentivize pro-environmental behaviors
Quasi-experimental,Instrumental variable estimation,Household participation in forest product collection and processing activities
Experimental,Randomised controlled trial,Farmer field schools training on agroecological practices for smallholder farmers
Quasi-experimental,Statistical matching,ICT-based agricultural extension services for litchi farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Amazon Fund Collaborative Platform to support sustainable production
Qualitative,Outcome harvesting,Citizen engagement via participatory priority setting and accountability mechanisms
Quasi-experimental,Other,Participation in agricultural insurance by rural households
Quasi-experimental,Other,Entry of new farmers promoting sustainable agricultural practices in rural China
Quasi-experimental,Fixed effects (incl. DiD),Introduction and uptake of weather index-based crop insurance
Quasi-experimental,Other,Remote sensing-based deforestation monitoring using Sentinel-1 time series and CuSum algorithm
Quasi-experimental,Fixed effects (incl. DiD),Planting flower-rich border and intercrops in moringa fields
Quasi-experimental,Fixed effects (incl. DiD),Implementation of accelerated depreciation policy for fixed assets in 2014
Quasi-experimental,Fixed effects (incl. DiD),Increased fiscal agricultural expenditures at the provincial level
Quasi-experimental,Fixed effects (incl. DiD),Enacting laws specifically criminalizing domestic violence in gender equality legislation
Experimental,Randomised controlled trial,Data-informed decision-making platform for district health management teams
Experimental,Randomised controlled trial,Early BCG and OPV vaccination provided to newborns during home visits
Experimental,Randomised controlled trial,Households received waste management leaflets and color-coded garbage bins
Quasi-experimental,Instrumental variable estimation,Increasing rural energy access to reduce rural-urban energy inequality
Quasi-experimental,Difference-in-Differences,Provision of targeted panic buttons to women at risk of domestic violence
Quasi-experimental,Statistical matching,Internship program for youth to improve employment quality
Quasi-experimental,Synthetic control,Implementation of National Renewable Energy Action Plans in Türkiye
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfers via Programa Bolsa Família to low-income individuals
Quasi-experimental,Instrumental variable estimation,Provision of agricultural subsidies to rural farm households
Experimental,Randomised controlled trial,Group sessions and community activities to empower girls and shift social norms around marriage
Quasi-experimental,Other,Offering area-revenue index insurance to smallholder farmers in Ghana
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to rural poor households in China
Quasi-experimental,Difference-in-Differences,Construction of paved roads in rural districts
Quasi-experimental,Statistical matching,Provision of agricultural insurance to farming households in Inner Mongolia
Quasi-experimental,Fixed effects (incl. DiD),Introduction of village-level microfinance via a rural community-driven development programme
Quasi-experimental,Statistical matching,Unconditional cash transfers via the Benazir Income Support Program to conflict-affected households
Quasi-experimental,Statistical matching,Pay-as-you-go solar home systems for rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Luz para Todos rural electrification program in Brazil
Experimental,Randomised controlled trial,Twice-yearly mass oral azithromycin distribution to children aged 1-59 months
Experimental,Randomised controlled trial,Health education sessions about foodborne zoonotic trematodes and related practices
Experimental,Randomised controlled trial,"Peer support, mobile messages, and birthing kits for pregnant women"
Experimental,Randomised controlled trial,Provision of food safety regulatory information to enterprises with prior production violations
Quasi-experimental,Fixed effects (incl. DiD),Introduction of Urban and Rural Resident Basic Medical Insurance (URRBMI) reform
Quasi-experimental,Fixed effects (incl. DiD),Implementation of endowment insurance systems with varying security levels
Experimental,Randomised controlled trial,Implementation of the culturally adapted Chinese Doll child sexual abuse prevention program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of age-friendly old age care and preferential treatment policies
Quasi-experimental,Statistical matching,Expansion of health insurance coverage for women of childbearing age in Nigeria
Experimental,Randomised controlled trial,Breastfeeding education and nurse-led online breastfeeding counseling for pregnant women
Experimental,Randomised controlled trial,Mobile health education on puberty delivered to boys via phone using HBM framework
Quasi-experimental,Instrumental variable estimation,Implementation of family planning birth quotas targeting Han Chinese
Experimental,Randomised controlled trial,Application of Nano Silver Fluoride or Silver Diamine Fluoride to carious lesions in children
Experimental,Randomised controlled trial,Weekly WhatsApp oral hygiene reminders to orthodontic patients
Quasi-experimental,Instrumental variable estimation,Provision of supplementary private health insurance to selected Malaysian individuals
Experimental,Randomised controlled trial,"Prescription audit, feedback, and small-group education for healthcare facility prescribers"
Experimental,Randomised controlled trial,Online PrEP information and motivation via WhatsApp groups or individual materials
Experimental,Randomised controlled trial,Weekly Reiki sessions for four weeks to women with sexual distress
Experimental,Randomised controlled trial,Homestead food production program for rural households
Quasi-experimental,Statistical matching,Promotion and dissemination of conservation agriculture technologies to maize farmers
Quasi-experimental,Fixed effects (incl. DiD),Replacing old light bulbs and appliances with more energy-efficient models
Experimental,Randomised controlled trial,Variety-specific fertilizer recommendations provided to Bangladeshi farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of municipal solid waste sorting pilot policy in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's 2016 Fintech regulatory plan
Quasi-experimental,Fixed effects (incl. DiD),Payments to farmers for watershed ecosystem conservation services
Quasi-experimental,Fixed effects (incl. DiD),National minimum wage policy changes in six Latin American economies
Experimental,Randomised controlled trial,Delivery of ParentApp digital parenting program with WhatsApp support to caregivers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of building energy efficiency codes for new residential constructions
Quasi-experimental,Fixed effects (incl. DiD),Government incentives via cash transfers during the COVID-19 pandemic
Quasi-experimental,Statistical matching,State-run home-visiting parenting program (PIM) for families with young children in Brazil
Experimental,Randomised controlled trial,Peer-delivered sexual health kits with PrEP and self-testing for young women
Experimental,Randomised controlled trial,Personalized dietary advice via WeChat applet during workday lunch times
Quasi-experimental,Fixed effects (incl. DiD),Rollout of national health insurance policy (RSBY) across India
Quasi-experimental,Synthetic control,Gradually lifting the two-child policy restriction in China
Experimental,Randomised controlled trial,Same-day ART initiation versus post-TB-investigation ART initiation in HIV-positive individuals
Quasi-experimental,Fixed effects (incl. DiD),Integrated multi-sectoral nutrition program targeting women and young children
Experimental,Randomised controlled trial,Information and training on malaria diagnostic tests for providers and patients at clinics
Quasi-experimental,Fixed effects (incl. DiD),Expansion of the New Cooperative Medical Scheme health insurance in rural China
Experimental,Randomised controlled trial,Mobile-based educational program to promote STI preventive behaviors among Iranian women
Experimental,Randomised controlled trial,Door-to-door COVID-19 vaccine information by local village ambassadors
Experimental,Randomised controlled trial,Behaviour change communication promoting paternal involvement in childcare and complementary feeding
Quasi-experimental,Fixed effects (incl. DiD),Home-based sensitization on obstetric danger signs for pregnant pastoralist women
Quasi-experimental,Statistical matching,Implementation of family doctor contract services in rural primary healthcare clinics
Quasi-experimental,Other,Courier ART delivery and weekly SMS adherence support for young people with HIV
Experimental,Randomised controlled trial,Sending mHealth text messages to mothers about maternal and child health practices
Quasi-experimental,Interrupted time series analysis,Implementation of China’s universal two-child policy
Experimental,Randomised controlled trial,Comparison of simulation-based versus workshop CPR training for firefighters
Experimental,Randomised controlled trial,Vitamin D supplementation for hospitalized COVID-19 pneumonia patients
Experimental,Randomised controlled trial,Random assignment of formal job offers to qualified female applicants
Experimental,Randomised controlled trial,Provision of chimney-fitted improved stoves to rural Ethiopian households
Experimental,Randomised controlled trial,Nutrition supplementation plus standard of care for pregnant women and young children
Experimental,Randomised controlled trial,Participatory couple seminars and coaching on intra-household decision-making
Quasi-experimental,Difference-in-Differences,Mandatory disclosure of dividend payout policies by firms
Quasi-experimental,Fixed effects (incl. DiD),Location-based tax exemptions for rural non-farm businesses in Armenian border communities
Quasi-experimental,Fixed effects (incl. DiD),Workers’ rights NGOs promoting minimum wage compliance following GSP renegotiation
Quasi-experimental,Instrumental variable estimation,Organizing smallholder farmers into geographic clusters for teff production
Quasi-experimental,Difference-in-Differences,Mandating firms spend 2% of profits on CSR activities
Quasi-experimental,Statistical matching,Governmental human and living support programs for rural ethnic minority households
Experimental,Randomised controlled trial,"Integrated health, nutrition, and early stimulation package for small or preterm infants"
Experimental,Randomised controlled trial,Establishing and supporting local coalitions to promote smoke-free policies
Experimental,Randomised controlled trial,Daily egg supplementation and behaviour change communication for children aged 9–18 months
Experimental,Randomised controlled trial,Six-week online mindfulness-based sessions for healthcare workers
Experimental,Randomised controlled trial,"Household water, sanitation, and handwashing interventions in rural Bangladeshi households"
Experimental,Randomised controlled trial,Inclusion of video edutainment in home health visits via Android handsets
Experimental,Randomised controlled trial,User-centred habit-formation intervention to improve ART adherence among MSM with HIV
Experimental,Randomised controlled trial,Daily Baduanjin exercise for 24 weeks among international female students
Experimental,Randomised controlled trial,Online video-assisted breastfeeding education for primiparous pregnant women
Quasi-experimental,Statistical matching,Access to and participation in small-scale irrigated farming
Quasi-experimental,Fixed effects (incl. DiD),Implementation of horizontal ecological compensation policy in cross-border river regions
Quasi-experimental,Fixed effects (incl. DiD),Formal legal designation of Indigenous Lands across Brazil
Quasi-experimental,Synthetic control,"Construction and operation of a foreign-funded paper mill in Río Negro, Uruguay"
Quasi-experimental,Fixed effects (incl. DiD),Increased public patrolling of collective property fisheries
Quasi-experimental,Fixed effects (incl. DiD),Direct payments to grassland exploiters under the Ecological Compensation Program
Quasi-experimental,Fixed effects (incl. DiD),Adoption of climate smart agriculture via the NICRA program in drought-prone villages
Quasi-experimental,Fixed effects (incl. DiD),Implementation of water resource tax reform pilot in coastal cities
Quasi-experimental,Regression discontinuity design,Implementation and enforcement of public forest protection policies at the national level
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National Key Ecological Function Area (NKEFA) policy
Quasi-experimental,Fixed effects (incl. DiD),"Community-based climate-smart village program promoting savings, credit, and improved livestock breeds"
Quasi-experimental,Synthetic control,Implementation of water rights trading in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Livestock subsidies and ecosystem service payments across Mexican municipalities
Experimental,Randomised controlled trial,Assigning individual tree management rights within community forests
Quasi-experimental,Fixed effects (incl. DiD),Fiscal investments in the Sloping Land Conversion Program (SLCP) for revegetation
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a large-scale voluntary REDD+ project to reduce deforestation
Qualitative,Other,Provision of cash transfers to women of reproductive age and children under 18
Qualitative,Other,Caregiver and community sensitisation and education to improve childhood immunisation rates
Qualitative,Other,Use of mobile health (mHealth) tools to improve adolescent SRH service uptake
Qualitative,Outcome harvesting,"Interventions to increase antenatal screening rates for syphilis, HIV, and hepatitis B"
Quasi-experimental,Other,Nutrition-specific and nutrition-sensitive programs addressing undernutrition and overnutrition in LMICs
Quasi-experimental,Fixed effects (incl. DiD),Financial support for grassland ecological protection and restoration
Other,Other,Community-based educational videos promoting nutrition and maternal and child health behaviors
Quasi-experimental,Fixed effects (incl. DiD),Payments to landholders for forest protection under the PFES scheme
Experimental,Randomised controlled trial,Delivery of mental health and psychosocial support programmes to youth in emergencies
Quasi-experimental,Other,Gut microbiome-targeted nutrition interventions for young children
Qualitative,Other,Skill training programs for youth in agribusiness
Qualitative,Other,Health-care system interventions to reduce greenhouse gas emissions
Qualitative,Other,Various community and individual interventions to prevent intimate partner violence
Quasi-experimental,Instrumental variable estimation,Transfer of land-use rights to private companies for commercial agriculture
Quasi-experimental,Statistical matching,Implementation of community-based natural resource management (CBNRM) projects
Quasi-experimental,Fixed effects (incl. DiD),Designation of national key ecological functional areas (NKEFA)
Quasi-experimental,Statistical matching,Provision and uptake of weather index insurance among rural Ethiopian households
Quasi-experimental,Other,"Collective, incentive-based forest conservation initiatives (REDD+ and NFCP)"
Quasi-experimental,Fixed effects (incl. DiD),Land transfer and government land acquisition in rural villages
Quasi-experimental,Instrumental variable estimation,Tree plantation expansion and species diversification in administrative regions
Quasi-experimental,Statistical matching,Provision of weather and climate advisories to cotton-wheat farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new logging concession contracts with forest management plans
Quasi-experimental,Fixed effects (incl. DiD),Provision of fiscal subsidies to agricultural households
Quasi-experimental,Instrumental variable estimation,Provision of subsidized farm input vouchers to targeted rural households
Quasi-experimental,Fixed effects (incl. DiD),Expansion of digital financial inclusion across Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Creation of a specialized tax unit to monitor wealthy individuals’ tax affairs
Quasi-experimental,Difference-in-Differences,Increase in minimum wage with partial coverage across different sectors
Quasi-experimental,Regression discontinuity design,Implementation of the National Environmental Policy in Pakistan
Quasi-experimental,Fixed effects (incl. DiD),Introduction of geographical indications for certain agricultural products
Quasi-experimental,Statistical matching,Job recommendations and free vocational training for impoverished individuals
Quasi-experimental,Regression discontinuity design,Income-threshold-based housing subsidy for low-income mortgage applicants
Experimental,Randomised controlled trial,Provision of LPG stoves and free fuel to pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Sector-specific official development assistance to developing countries
Quasi-experimental,Fixed effects (incl. DiD),Increased public housing investments by the Mass Housing Authority (TOKI) in Turkish provinces
Quasi-experimental,Fixed effects (incl. DiD),Agro-dealer certification by regulatory bodies
Quasi-experimental,Fixed effects (incl. DiD),Changes in corporate income tax policy affecting Malaysian listed companies
Quasi-experimental,Instrumental variable estimation,Implementation of agricultural certification policy in poor counties
Quasi-experimental,Fixed effects (incl. DiD),Residential energy conservation contest with competitive rebates and multiple prizes
Experimental,Randomised controlled trial,Social Cognitive Theory-based child abuse prevention program for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Introduction of special economic zone (SEZ) policies in selected countries
Quasi-experimental,Statistical matching,Targeted support initiatives for vulnerable groups during the COVID-19 pandemic
Quasi-experimental,Statistical matching,App-based tiered mental health care for perinatal anxiety alongside usual antenatal care
Experimental,Randomised controlled trial,Lipid-focused dietary education for pregnant women using behavior change theories
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's National Healthcare Data Center pilot project
Experimental,Randomised controlled trial,Parenting programme added to standard reunification package for families
Experimental,Randomised controlled trial,Didactic health education booklet on soil-transmitted helminths for sixth-grade students
Experimental,Randomised controlled trial,Color-coded environment and nutrition labels on canteen dumpling options
Experimental,Randomised controlled trial,Educational sessions on respiratory infection prevention for hospital staff
Quasi-experimental,Statistical matching,Combining land tenure formalization and social safety net programs for rural households
Quasi-experimental,Statistical matching,Technical assistance and rural extension for poor family farmers
Experimental,Randomised controlled trial,Nudging farmers to obtain formal land titles
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Insolvency and Bankruptcy Code strengthening trade creditor rights
Quasi-experimental,Statistical matching,Social and behavior change communication to shift gender norms and prevent IPV
Quasi-experimental,Fixed effects (incl. DiD),Weekly interactive text-message check-ins for women in PMTCT HIV care
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Healthy China 2030 national health policy
Experimental,Randomised controlled trial,Monthly dihydroartemisinin-piperaquine chemoprevention for children during extended malaria season
Experimental,Randomised controlled trial,Audio and written health education on leprosy for community members
Experimental,Randomised controlled trial,Daily supplementation with gut microbiota-directed complementary food for malnourished children
Experimental,Randomised controlled trial,Annual community-wide HIV testing and patient-centered linkage to care
Experimental,Randomised controlled trial,Combined nutrition and psychosocial stimulation for young children in rural villages
Quasi-experimental,Fixed effects (incl. DiD),Provision of Chinese health aid projects in African communities
Experimental,Randomised controlled trial,Comprehensive prenatal dietary education and support for urban Chinese pregnant women
Quasi-experimental,Synthetic control,Implementation of an antimalarial initiative in Mozambique
Experimental,Randomised controlled trial,Economic empowerment via child development accounts and micro-enterprise workshops for adolescents with HIV
Experimental,Randomised controlled trial,"School-based behavioral sessions and physical activity for adolescents, parents, and teachers"
Experimental,Randomised controlled trial,Economic incentives with home visits and counseling for HIV care retention
Quasi-experimental,Statistical matching,Introduction of family physician contract services for urban community residents
Quasi-experimental,Fixed effects (incl. DiD),Legalization of abortion under specific circumstances in Mozambique
Quasi-experimental,Fixed effects (incl. DiD),COVID-19 lockdowns restricting regional population movement
Quasi-experimental,Fixed effects (incl. DiD),Implementation of strict zero-COVID policies at county level in China
Experimental,Randomised controlled trial,Nutrition education and personalized overweight status messages for rural households
Quasi-experimental,Fixed effects (incl. DiD),Land fragmentation increasing number of water users post-land reform
Experimental,Randomised controlled trial,Behavioural interventions targeting vendors and communities to rationalize antibiotic use
Experimental,Randomised controlled trial,Monthly telephone message reminders for breast self-examination after training
Quasi-experimental,Regression discontinuity design,Provision of social pensions to elderly poor individuals via Pension 65 program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Rural E-Commerce Demonstration County Program
Quasi-experimental,Other,Provision of biological and machinery services by agricultural cooperatives to smallholder farmers
Quasi-experimental,Regression discontinuity design,Expansion of China’s New Rural Pension Scheme to rural elderly citizens
Experimental,Randomised controlled trial,Mobile app plus Holy Quran recitations for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Government business training provided to self-employed workers
Quasi-experimental,Fixed effects (incl. DiD),High-standard farmland construction projects to improve grain production
Experimental,Randomised controlled trial,"One-time unconditional $1,000 cash transfer to refugee households in Uganda"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of joint land ownership for rural women
Other,Other,Bundled economic and health interventions targeting adolescents to reduce HIV risk
Experimental,Randomised controlled trial,Egg supplementation to children for improved growth outcomes
Qualitative,Other,Deployment of rural community health workers during the COVID-19 pandemic
Qualitative,Other,Home visits by community health workers providing postdischarge education sessions
Experimental,Randomised controlled trial,Oral vitamin B12 supplementation for pregnant women
Qualitative,Other,Digital health solutions to enhance antenatal care coverage and quality
Qualitative,Other,Adapting school health and nutrition programmes during COVID-19 in low- and middle-income countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's new-type urbanization pilot policy in selected cities
Quasi-experimental,Difference-in-Differences,Introduction of high-speed rail connections between Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Establishment of economic zones in rural China
Experimental,Randomised controlled trial,Monthly IPTp-SP delivery to pregnant women via seasonal malaria chemoprevention channels
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental tax replacing previous environmental fees
Experimental,Randomised controlled trial,Providing pregnant women with two eggs daily for one month
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green credit policy in commercial banks
Quasi-experimental,Regression discontinuity design,Increase in Block Pricing policy on residential electricity tariffs
Quasi-experimental,Other,Allocation of air pollution emission permits among industrial enterprises
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Green Credit Guidelines in China affecting enterprise behavior
Quasi-experimental,Fixed effects (incl. DiD),Expansion of electrified agricultural machinery in rice cultivation
Quasi-experimental,Fixed effects (incl. DiD),Expansion of green credit policies across Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green credit policy targeting heavy-polluting enterprises
Experimental,Randomised controlled trial,Telemedicine support provided to pediatric intensive care units
Experimental,Randomised controlled trial,"Provision of water pumps, seeds, and agricultural and financial training to PWH"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Labor Contract Law increasing employment protection
Quasi-experimental,Regression discontinuity design,Implementation of partial lockdown policies at subdistrict and district levels in Indonesia
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Low-Carbon Pilot Cities Policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of SO₂ Emissions Trading Scheme for selected firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Broadband China Policy to develop digital infrastructure
Quasi-experimental,Fixed effects (incl. DiD),Implementation of REDD+ projects in selected Tanzanian pilot villages
Experimental,Randomised controlled trial,Six online sexual education sessions for postpartum women
Experimental,Randomised controlled trial,Assignment of infants to three complementary feeding methods for mothers
Quasi-experimental,Fixed effects (incl. DiD),Stricter sulfur dioxide emissions regulations in designated pollution control zones
Experimental,Randomised controlled trial,"Inclusive family planning interventions for women with disabilities in Kaduna City, Nigeria"
Experimental,Randomised controlled trial,Peer-led adherence clubs for people with HIV leaving incarceration
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National Big Data Comprehensive Pilot Zone policy in select regions
Quasi-experimental,Difference-in-Differences,Phase-out of household photovoltaic electricity generation subsidies in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s new green credit policy targeting high-energy sectors
Quasi-experimental,Fixed effects (incl. DiD),Implementation of rural electrification using small hydropower in pilot Chinese counties
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emissions trading system in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Assignment of ESG ratings to listed companies
Quasi-experimental,Difference-in-Differences,Implementation of 2012 Green Credit Guidelines targeting polluting enterprises
Quasi-experimental,Difference-in-Differences,Implementation of China's macroprudential assessment (MPA) system
Quasi-experimental,Fixed effects (incl. DiD),Provision of free school meals to rural students via the Nutrition Improvement Program
Quasi-experimental,Fixed effects (incl. DiD),Expansion of mobile payments following a 2016 policy change in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emission trading pilot policy in select regions
Quasi-experimental,Fixed effects (incl. DiD),Deployment of digital infrastructure via 'Broadband China' demonstration cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National E-Commerce Demonstration City (NEDC) policy in selected cities
Experimental,Randomised controlled trial,"Smart device-based, self-management lifestyle program guided by socioecological model"
Quasi-experimental,Fixed effects (incl. DiD),Granting long-term land rights to rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of financial innovation within China’s national innovation system policy
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Pilot Free Trade Zones in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Establishment of pilot free trade zones in selected Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Linking local officials' promotions to cities' pollution reduction targets
Quasi-experimental,Fixed effects (incl. DiD),"Government-issued CSR promotion policy for listed companies in Jiangsu, China"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental insurance for firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of stricter environmental regulation at the city level
Quasi-experimental,Difference-in-Differences,Establishment of National Big Data Comprehensive Pilot Zone policies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2012 Green Credit Guidelines for high-pollution enterprises
Quasi-experimental,Fixed effects (incl. DiD),Expansion of inter-provincial electricity transmission lines in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Stock Connect program to open capital markets
Quasi-experimental,Fixed effects (incl. DiD),Construction of highways connecting Chinese counties
Quasi-experimental,Difference-in-Differences,Temporary suspension of local cost-sharing mandates for rural road projects
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Guidance on Building a Green Financial System policy
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Old Revolutionary Development Program in selected regions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new ambient air quality standards in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Healthy City Pilot policy in selected Chinese cities
Quasi-experimental,Instrumental variable estimation,Construction of rural roads in previously unconnected Indian villages
Quasi-experimental,Difference-in-Differences,Expansion of eligible collateral for central bank's lending facility
Quasi-experimental,Difference-in-Differences,China's public vaccine program expansion with price regulation on specific vaccines
Quasi-experimental,Fixed effects (incl. DiD),Implementation of resource tax reform in resource-based cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a tax hotline providing tax information to firms
